[TEST START] TURBOPUMP INLET TELEMETRY
[WARN] SENSOR S1 (INLET_P) EXPERIENCING HIGH FREQUENCY INTERFERENCE
[T+0.010] INLET_P: 933.19 | PUMP_RPM: 94956 | BRG_TEMP: 120.9
[T+1.450] INLET_P: 557.59 | PUMP_RPM: 94956 | BRG_TEMP: 119.9
[T+1.460] INLET_P: 794.10 | PUMP_RPM: 95003 | BRG_TEMP: 120.7
[T+1.470] INLET_P: 348.11 | PUMP_RPM: 94968 | BRG_TEMP: 120.8
[T+1.480] INLET_P: 763.83 | PUMP_RPM: 94981 | BRG_TEMP: 120.1
[T+1.490] INLET_P: 828.88 | PUMP_RPM: 95034 | BRG_TEMP: 120.8
[T+1.500] INLET_P: 333.67 | PUMP_RPM: 95007 | BRG_TEMP: 120.0
[T+1.510] INLET_P: 366.91 | PUMP_RPM: 95034 | BRG_TEMP: 120.3
[T+1.520] INLET_P: 859.54 | PUMP_RPM: 95049 | BRG_TEMP: 119.1
[T+1.530] INLET_P: 365.86 | PUMP_RPM: 95011 | BRG_TEMP: 120.6
[T+1.540] INLET_P: 793.31 | PUMP_RPM: 95015 | BRG_TEMP: 120.7
[T+1.550] INLET_P: 303.99 | PUMP_RPM: 95019 | BRG_TEMP: 120.1
[T+1.560] INLET_P: 320.61 | PUMP_RPM: 95041 | BRG_TEMP: 120.3
[T+1.570] INLET_P: 643.37 | PUMP_RPM: 95005 | BRG_TEMP: 119.5
[T+1.580] INLET_P: 613.86 | PUMP_RPM: 94970 | BRG_TEMP: 119.5
[T+1.590] INLET_P: 689.94 | PUMP_RPM: 95042 | BRG_TEMP: 119.2
[T+1.600] INLET_P: 623.32 | PUMP_RPM: 95041 | BRG_TEMP: 120.4
[T+1.610] INLET_P: 689.78 | PUMP_RPM: 94987 | BRG_TEMP: 120.3
[T+1.620] INLET_P: 907.89 | PUMP_RPM: 94983 | BRG_TEMP: 120.3
[T+1.630] INLET_P: 462.78 | PUMP_RPM: 95041 | BRG_TEMP: 121.0
[T+1.640] INLET_P: 369.16 | PUMP_RPM: 94981 | BRG_TEMP: 119.5
[T+1.650] INLET_P: 466.13 | PUMP_RPM: 94994 | BRG_TEMP: 120.5
[T+1.660] INLET_P: 455.65 | PUMP_RPM: 95028 | BRG_TEMP: 119.4
[T+1.670] INLET_P: 263.17 | PUMP_RPM: 94980 | BRG_TEMP: 120.3
[T+1.680] INLET_P: 925.72 | PUMP_RPM: 95008 | BRG_TEMP: 120.9
[T+1.690] INLET_P: 323.16 | PUMP_RPM: 94971 | BRG_TEMP: 119.3
[T+1.700] INLET_P: 375.71 | PUMP_RPM: 94990 | BRG_TEMP: 120.1
[T+1.710] INLET_P: 297.47 | PUMP_RPM: 95036 | BRG_TEMP: 119.3
[T+1.720] INLET_P: 743.17 | PUMP_RPM: 94956 | BRG_TEMP: 120.3
[T+1.730] INLET_P: 460.20 | PUMP_RPM: 95030 | BRG_TEMP: 119.0
[T+1.740] INLET_P: 514.88 | PUMP_RPM: 94972 | BRG_TEMP: 119.2
[T+1.750] INLET_P: 820.52 | PUMP_RPM: 94973 | BRG_TEMP: 120.0
[T+1.760] INLET_P: 545.18 | PUMP_RPM: 94982 | BRG_TEMP: 119.4
[T+1.770] INLET_P: 593.40 | PUMP_RPM: 94975 | BRG_TEMP: 119.7
[T+1.780] INLET_P: 546.41 | PUMP_RPM: 94987 | BRG_TEMP: 119.0
[T+1.790] INLET_P: 481.51 | PUMP_RPM: 95033 | BRG_TEMP: 120.9
[T+1.800] INLET_P: 845.68 | PUMP_RPM: 94984 | BRG_TEMP: 120.1
[T+1.810] INLET_P: 248.15 | PUMP_RPM: 94988 | BRG_TEMP: 120.8
[T+1.820] INLET_P: 876.12 | PUMP_RPM: 94991 | BRG_TEMP: 119.4
[T+1.830] INLET_P: 826.56 | PUMP_RPM: 94953 | BRG_TEMP: 119.1
[T+1.840] INLET_P: 688.13 | PUMP_RPM: 95039 | BRG_TEMP: 120.5
[T+1.850] INLET_P: 424.89 | PUMP_RPM: 94964 | BRG_TEMP: 120.0
[T+1.860] INLET_P: 804.46 | PUMP_RPM: 95001 | BRG_TEMP: 119.2
[T+1.870] INLET_P: 436.36 | PUMP_RPM: 95003 | BRG_TEMP: 119.6
[T+1.880] INLET_P: 618.80 | PUMP_RPM: 94984 | BRG_TEMP: 119.9
[T+1.890] INLET_P: 638.61 | PUMP_RPM: 94977 | BRG_TEMP: 120.1
[T+1.900] INLET_P: 387.35 | PUMP_RPM: 95048 | BRG_TEMP: 119.0
[T+1.910] INLET_P: 655.02 | PUMP_RPM: 94954 | BRG_TEMP: 119.3
[T+1.920] INLET_P: 824.75 | PUMP_RPM: 95037 | BRG_TEMP: 120.7
[T+1.930] INLET_P: 623.31 | PUMP_RPM: 94970 | BRG_TEMP: 119.9
[T+1.940] INLET_P: 609.00 | PUMP_RPM: 94978 | BRG_TEMP: 121.0
[T+1.950] INLET_P: 790.72 | PUMP_RPM: 94975 | BRG_TEMP: 120.7
[T+1.960] INLET_P: 358.08 | PUMP_RPM: 95029 | BRG_TEMP: 120.8
[T+1.970] INLET_P: 452.76 | PUMP_RPM: 95033 | BRG_TEMP: 120.3
[T+1.980] INLET_P: 649.87 | PUMP_RPM: 95048 | BRG_TEMP: 119.9
[T+1.990] INLET_P: 482.49 | PUMP_RPM: 95047 | BRG_TEMP: 119.3
[T+2.000] INLET_P: 294.67 | PUMP_RPM: 95032 | BRG_TEMP: 119.8
[T+2.010] INLET_P: 898.40 | PUMP_RPM: 95006 | BRG_TEMP: 120.2
[T+2.020] INLET_P: 762.75 | PUMP_RPM: 94984 | BRG_TEMP: 119.6
[T+2.030] INLET_P: 917.26 | PUMP_RPM: 95028 | BRG_TEMP: 119.1
[T+2.040] INLET_P: 914.85 | PUMP_RPM: 95034 | BRG_TEMP: 120.7
[T+2.050] INLET_P: 619.14 | PUMP_RPM: 94974 | BRG_TEMP: 120.8
[T+2.060] INLET_P: 750.06 | PUMP_RPM: 94970 | BRG_TEMP: 120.9
[T+2.070] INLET_P: 710.94 | PUMP_RPM: 95028 | BRG_TEMP: 121.0
[T+2.080] INLET_P: 611.89 | PUMP_RPM: 95048 | BRG_TEMP: 120.1
[T+2.090] INLET_P: 780.71 | PUMP_RPM: 95044 | BRG_TEMP: 119.0
[T+2.100] INLET_P: 896.17 | PUMP_RPM: 94959 | BRG_TEMP: 120.3
[T+2.110] INLET_P: 661.98 | PUMP_RPM: 95044 | BRG_TEMP: 119.7
[T+2.120] INLET_P: 507.33 | PUMP_RPM: 94969 | BRG_TEMP: 120.0
[T+2.130] INLET_P: 607.19 | PUMP_RPM: 95013 | BRG_TEMP: 120.9
[T+2.140] INLET_P: 595.70 | PUMP_RPM: 95011 | BRG_TEMP: 121.0
[T+2.150] INLET_P: 315.18 | PUMP_RPM: 95019 | BRG_TEMP: 120.1
[T+2.160] INLET_P: 358.20 | PUMP_RPM: 95005 | BRG_TEMP: 120.7
[T+2.170] INLET_P: 370.83 | PUMP_RPM: 95011 | BRG_TEMP: 119.1
[T+2.180] INLET_P: 796.03 | PUMP_RPM: 94994 | BRG_TEMP: 120.9
[T+2.190] INLET_P: 719.55 | PUMP_RPM: 94959 | BRG_TEMP: 120.3
[T+2.200] INLET_P: 728.92 | PUMP_RPM: 94994 | BRG_TEMP: 120.8
[T+2.210] INLET_P: 739.66 | PUMP_RPM: 94959 | BRG_TEMP: 119.7
[T+2.220] INLET_P: 416.49 | PUMP_RPM: 94981 | BRG_TEMP: 119.9
[T+2.230] INLET_P: 454.01 | PUMP_RPM: 95030 | BRG_TEMP: 120.7
[T+2.240] INLET_P: 738.87 | PUMP_RPM: 94993 | BRG_TEMP: 120.0
[T+2.250] INLET_P: 774.24 | PUMP_RPM: 95027 | BRG_TEMP: 119.5
[T+2.260] INLET_P: 844.00 | PUMP_RPM: 94978 | BRG_TEMP: 119.1
[T+2.270] INLET_P: 326.82 | PUMP_RPM: 94997 | BRG_TEMP: 119.0
[T+2.280] INLET_P: 854.18 | PUMP_RPM: 94986 | BRG_TEMP: 119.4
[T+2.290] INLET_P: 864.26 | PUMP_RPM: 95025 | BRG_TEMP: 120.9
[T+2.300] INLET_P: 508.89 | PUMP_RPM: 95018 | BRG_TEMP: 120.2
[T+2.310] INLET_P: 354.42 | PUMP_RPM: 94988 | BRG_TEMP: 119.1
[T+2.320] INLET_P: 896.86 | PUMP_RPM: 95034 | BRG_TEMP: 120.5
[T+2.330] INLET_P: 389.75 | PUMP_RPM: 95043 | BRG_TEMP: 120.7
[T+2.340] INLET_P: 740.29 | PUMP_RPM: 95043 | BRG_TEMP: 120.3
[T+2.350] INLET_P: 299.09 | PUMP_RPM: 94954 | BRG_TEMP: 120.9
[T+2.360] INLET_P: 549.04 | PUMP_RPM: 95019 | BRG_TEMP: 119.5
[T+2.370] INLET_P: 725.95 | PUMP_RPM: 94966 | BRG_TEMP: 119.6
[T+2.380] INLET_P: 809.09 | PUMP_RPM: 95012 | BRG_TEMP: 120.4
[T+2.390] INLET_P: 622.25 | PUMP_RPM: 94964 | BRG_TEMP: 119.4
[T+2.400] INLET_P: 519.40 | PUMP_RPM: 94988 | BRG_TEMP: 120.6
[T+2.410] INLET_P: 764.41 | PUMP_RPM: 94982 | BRG_TEMP: 120.8
[T+2.420] INLET_P: 898.00 | PUMP_RPM: 95023 | BRG_TEMP: 119.2
[T+2.430] INLET_P: 738.07 | PUMP_RPM: 95017 | BRG_TEMP: 119.3
[T+2.440] INLET_P: 548.51 | PUMP_RPM: 94958 | BRG_TEMP: 119.6
[T+2.450] INLET_P: 278.54 | PUMP_RPM: 95008 | BRG_TEMP: 119.3
[T+2.460] INLET_P: 307.46 | PUMP_RPM: 95003 | BRG_TEMP: 120.6
[T+2.470] INLET_P: 648.48 | PUMP_RPM: 95031 | BRG_TEMP: 120.4
[T+2.480] INLET_P: 416.51 | PUMP_RPM: 94989 | BRG_TEMP: 120.0
[T+2.490] INLET_P: 481.44 | PUMP_RPM: 95031 | BRG_TEMP: 120.9
[T+2.500] INLET_P: 659.59 | PUMP_RPM: 95003 | BRG_TEMP: 120.8
[T+2.510] INLET_P: 882.53 | PUMP_RPM: 95013 | BRG_TEMP: 120.8
[T+2.520] INLET_P: 717.27 | PUMP_RPM: 95012 | BRG_TEMP: 119.4
[T+2.530] INLET_P: 637.15 | PUMP_RPM: 94954 | BRG_TEMP: 119.6
[T+2.540] INLET_P: 602.02 | PUMP_RPM: 95050 | BRG_TEMP: 119.0
[T+2.550] INLET_P: 878.32 | PUMP_RPM: 94974 | BRG_TEMP: 119.5
[T+2.560] INLET_P: 249.00 | PUMP_RPM: 95026 | BRG_TEMP: 119.5
[T+2.570] INLET_P: 858.29 | PUMP_RPM: 95039 | BRG_TEMP: 119.7
[T+2.580] INLET_P: 268.03 | PUMP_RPM: 95015 | BRG_TEMP: 120.3
[T+2.590] INLET_P: 657.38 | PUMP_RPM: 94977 | BRG_TEMP: 120.8
[T+2.600] INLET_P: 626.11 | PUMP_RPM: 94968 | BRG_TEMP: 119.2
[T+2.610] INLET_P: 532.99 | PUMP_RPM: 94987 | BRG_TEMP: 120.6
[T+2.620] INLET_P: 590.64 | PUMP_RPM: 94979 | BRG_TEMP: 119.9
[T+2.630] INLET_P: 254.10 | PUMP_RPM: 94968 | BRG_TEMP: 120.7
[T+2.640] INLET_P: 451.03 | PUMP_RPM: 94956 | BRG_TEMP: 119.2
[T+2.650] INLET_P: 564.35 | PUMP_RPM: 95046 | BRG_TEMP: 119.6
[T+2.660] INLET_P: 484.16 | PUMP_RPM: 95017 | BRG_TEMP: 119.3
[T+2.670] INLET_P: 750.09 | PUMP_RPM: 94962 | BRG_TEMP: 119.9
[T+2.680] INLET_P: 226.11 | PUMP_RPM: 94975 | BRG_TEMP: 120.0
[T+2.690] INLET_P: 374.88 | PUMP_RPM: 94962 | BRG_TEMP: 120.6
[T+2.700] INLET_P: 862.89 | PUMP_RPM: 94967 | BRG_TEMP: 120.2
[T+2.710] INLET_P: 875.74 | PUMP_RPM: 94995 | BRG_TEMP: 121.0
[T+2.720] INLET_P: 306.10 | PUMP_RPM: 95009 | BRG_TEMP: 119.7
[T+2.730] INLET_P: 546.98 | PUMP_RPM: 94955 | BRG_TEMP: 119.9
[T+2.740] INLET_P: 284.32 | PUMP_RPM: 95043 | BRG_TEMP: 120.9
[T+2.750] INLET_P: 545.57 | PUMP_RPM: 95024 | BRG_TEMP: 120.7
[T+2.760] INLET_P: 731.26 | PUMP_RPM: 94959 | BRG_TEMP: 119.0
[T+2.770] INLET_P: 266.74 | PUMP_RPM: 95041 | BRG_TEMP: 119.3
[T+2.780] INLET_P: 252.31 | PUMP_RPM: 95006 | BRG_TEMP: 119.9
[T+2.790] INLET_P: 235.57 | PUMP_RPM: 94997 | BRG_TEMP: 119.1
[T+2.800] INLET_P: 355.87 | PUMP_RPM: 95028 | BRG_TEMP: 120.6
[T+2.810] INLET_P: 279.27 | PUMP_RPM: 95025 | BRG_TEMP: 120.2
[T+2.820] INLET_P: 602.26 | PUMP_RPM: 95045 | BRG_TEMP: 120.7
[T+2.830] INLET_P: 735.84 | PUMP_RPM: 94960 | BRG_TEMP: 119.1
[T+2.840] INLET_P: 238.89 | PUMP_RPM: 95031 | BRG_TEMP: 119.9
[T+2.850] INLET_P: 659.78 | PUMP_RPM: 95004 | BRG_TEMP: 120.3
[T+2.860] INLET_P: 545.22 | PUMP_RPM: 95013 | BRG_TEMP: 119.5
[T+2.870] INLET_P: 353.10 | PUMP_RPM: 95019 | BRG_TEMP: 119.6
[T+2.880] INLET_P: 319.62 | PUMP_RPM: 94966 | BRG_TEMP: 119.7
[T+2.890] INLET_P: 552.24 | PUMP_RPM: 95018 | BRG_TEMP: 120.5
[T+2.900] INLET_P: 388.22 | PUMP_RPM: 95042 | BRG_TEMP: 120.4
[T+2.910] INLET_P: 824.70 | PUMP_RPM: 94958 | BRG_TEMP: 120.2
[T+2.920] INLET_P: 725.10 | PUMP_RPM: 95029 | BRG_TEMP: 119.6
[T+2.930] INLET_P: 610.62 | PUMP_RPM: 95030 | BRG_TEMP: 119.1
